FID,Lat,Lng,Score,Q1,Q2,Q3,Q4,Q5,ashcan,awning,bicycle,booth,bridge,building,bulletin board,car,ceiling,chair,column,desk,earth,fence,fountain,glass,grass,lake,lamp,minibike,mountain,person,pier,plant,railing,road,sculpture,sidewalk,signboard,sky,skyscraper,sofa,streetlight,tree,van,wall,water,windowpane
10,51.530954,-0.114516,6.648328385,1,5.309787483,5.626357378,6.130802856,5.705723796,0,0,0,0,0,0.196418,0,0.001652,0,0,0,0,0,0.03391,0,0,0.000238,0,0,0,0,0.001324,0,0.031676,0,0.280859,0,0.107383,0.004387,0.062418,0,0,0,0.197402,0,0.082332,0,0
11,51.530566,-0.114974,7.207741602,1,5.372248044,5.645620235,5.875025318,5.223519607,0,0,0,0,0,0.254199,0,0.001746,0,0,0,0,0.010754,0.048117,0,0,0,0,0,0,0,0.001016,0,0,0,0.307859,0,0.078801,0.000832,0.121109,0,0,0,0.157316,0,0.01825,0,0
12,51.53018,-0.115433,5.913941793,1,4.960351397,4.810889185,5.253679693,5.552321921,0,0,0,0,0,0.089051,0,0.054859,0,0,0,0,0,0.074184,0,0,0.001312,0,0,0,0,0,0,0.009797,0,0.325094,0,0.02966,0.006957,0.30184,0,0,0,0.104871,0,0.001977,0,0
13,51.529745,-0.115832,6.263804569,1,5.632521682,6.30173187,5.695480941,5.766075217,0,0,0,0,0,0.433789,0,0.015703,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00341,0,0,0,0.335016,0,0.070266,0.002289,0.120152,0,0,0,0.019199,0,0,0,0
14,51.531909,-0.106268,7.135628758,1,5.574047973,6.606439706,5.690049402,5.148946873,3.50E-05,0,0,0,0,0.468551,0,0.045926,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000793,0,0,0,0.374832,0,0.011914,0,0.095621,0,0,0,0,0.000148,0,0,0
15,51.528665,-0.119525,6.206792156,1,5.084679468,4.219446598,5.522724301,5.186567875,0,0,0,0,0,0.32793,0,0.010465,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.355867,0,0.064871,0.000664,0.19752,0,0,0,0.042062,0,0,0,0
16,51.531218,-0.086312,6.233612733,1,6.216135405,3.864423461,5.845727991,5.886386704,0,0,0,0,0,0.201566,0,0.01593,0,0,0,0,0,0.005336,0,0,0.005148,0,0,0,0,0,0,0.005711,0,0.380332,0,0.064656,0.001727,0.207152,0,0,0.000492,0.104328,0.006348,0,0,0
17,51.543952,-0.089979,3.672635104,1,4.585211923,3.729984753,5.546416057,5.056399323,0,0,0.01452,0,0,0.349621,0,0.007621,0,0,0,0,0,0.000375,0,0,0,0,0,0,0,0.011223,0,0,0,0.269938,0,0.108188,0.000402,0.227879,0,0,0.00048,0.009754,0,0,0,0
18,51.512867,-0.088402,6.159343057,1,5.995888272,6.618114706,5.468048021,5.569496217,0.002824,0,0,0,0,0.475973,0,6.20E-05,0,0,0.003578,0,0,0,0,0,0,0,0,0,0,0.006297,0,0,0,0.369391,0,0.042965,0.006992,0.091719,0,0,0.000125,0,0,0,0,0
19,51.512393,-0.088034,5.881603077,1,6.420245064,6.624304932,5.481728169,4.885381377,0,0,0.003605,0,0,0.549398,0,0.000977,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002074,0,0,0,0.283359,0,0.095938,0.000516,0.063895,0,0,0,0,0,0,0,0
20,51.511925,-0.087659,4.721730239,1,5.627406021,4.140709122,5.64570963,5.7049036,0,0,0,0,0,0.417332,0,0.000648,0,0,0,0,0,0.004055,0,0,0,0,0,0,0,0.003668,0,0,0,0.258867,0,0.100891,0,0.163391,0,0,0,0,0,0.050676,0,0
21,51.511459,-0.08728,5.635849636,1,6.435341535,6.169966235,5.505858842,4.883596968,0,0,0,0,0,0.548758,0,0.000852,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009426,0,0,0,0.26141,0,0.099301,0.001492,0.058113,0,0,0,0,0,0,0,0
22,51.511915,-0.085115,6.221399147,1,5.786247366,6.114975976,5.628850837,5.536240813,0,0,0,0,0,0.452887,0,0.011125,0,0,0,0,0,0,0,0,0,0,0,0,0,0.013078,0,0.000262,0,0.400957,0,0.016648,0.000379,0.090973,0,0,0,0,0.001223,0.000391,0,0
23,51.511799,-0.084526,5.686091065,1,6.287192203,6.44825842,5.429920923,5.001935098,0,0,0,0,0,0.580762,0,0.001035,0,0,0,0,0,0,0,0,0,0,0,0.001793,0,0.025867,0,0,0,0.241039,0,0.120836,0,0.027234,0,0,0,0,0.001434,0,0,0
24,51.511694,-0.083936,6.132521656,1,6.128907435,5.601879919,5.568665098,5.063153137,0,0,0.006293,0,0,0.507984,0,0.000188,0,0,0,0,0,0,0,0,0,0,0,0,0,0.010438,0,0,0,0.283082,0,0.148969,0.004773,0.037652,0,0,0,8.60E-05,0,0,0,0
25,51.511613,-0.083341,5.790724726,1,6.4582071,6.476669567,5.36966655,4.911272307,0.000117,0,0,0,0,0.560426,0,0.000152,0,0,0,0,0,0.000184,0,0,0,0,0,0,0,0.005258,0,0,0,0.214207,0,0.162305,0.001582,0.050379,0,0,0,0.00075,0.000492,0.000707,0,0
26,51.511553,-0.082744,5.824174927,1,6.300230917,6.099004329,5.368360856,4.957600819,0,0,0,0,0,0.572586,0,0.001012,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003879,0,0,0,0.228953,0,0.147926,0,0.045625,0,0,0,0,0,0,0,0
27,51.511565,-0.082145,5.928584339,1,6.451237987,6.085189516,5.574154094,4.887438275,0,0,0,0,0,0.550352,0,0.001113,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005879,0,0,0,0.244191,0,0.162836,0.000285,0.032449,0,0,0,0,8.00E-06,0,0,0
28,51.51167,-0.081554,5.81223247,1,6.435472598,6.496387958,5.525336586,4.861208676,0,0,0.002141,0,0,0.557742,0,0.000961,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006844,0,0,0,0.287371,0,0.108926,0.004625,0.031285,0,0,0.000105,0,0,0,0,0
29,51.511816,-0.080973,5.943352086,1,6.080044206,6.810194778,5.259785321,4.882096918,0,0,0,0,0,0.614719,0,0.00023,0,0,0,0,0,0.00023,0,0,0,0,0,0,0,0.000902,0,0,0,0.21868,0,0.140434,4.00E-06,0.012105,0,0,0,0,0,0,0,0
30,51.511987,-0.080397,6.526021841,1,6.307678187,6.580438249,5.536122287,4.815449857,0,0,0,0,0,0.560496,0,0,0,0,0,0,0,0.002484,0,0,0,0,0,0,0,0.000496,0,0,0,0.365301,0,0.064992,0,0.00623,0,0,0,0,0,0,0,0
31,51.512161,-0.079823,6.338325513,1,6.072608551,6.851126338,5.462516636,4.789360202,0,0,0,0,0,0.545789,0,0.104715,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000418,0,0,0,0.184961,0,0.116203,0,0.030832,0,0,0,0,0,0,0,0
32,51.512375,-0.079264,6.556510436,1,6.08267818,6.634759285,5.498365812,5.026042671,0,0,0,0,0,0.495254,0,0.000121,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005391,0,0,0,0.361762,0,0.008039,0,0.037434,0,0,0,0,0.091652,0,0,0
33,51.512636,-0.078724,5.627597953,1,6.186979653,6.620387985,5.468504718,4.796998592,0,0,0,0,0,0.579691,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000125,0,0,0,0.301922,0,0.062781,0.00252,0.052727,0,0,0,0,0,0,0,0
34,51.506165,-0.088291,6.520672928,1,4.69380322,4.747753972,5.419717607,5.043336581,0,0,0,0,0,0.313953,0,0.00448,0,0.000184,0,0,0,0.051266,0,0,0,0,0,0,0,0.002035,0,0,0,0.355977,0,0.031223,0.002062,0.187277,0,0,0,0.039016,0.004695,0.001191,0,0
35,51.511363,-0.119226,5.376492174,1,3.910097303,4.214108306,5.125656298,5.360716013,9.80E-05,0,0.000508,0,0,0.196672,0,0.065125,0,0,0,0,0,0,0,0,0,0,0,0.015008,0,0.00118,0,0,0,0.368938,0,0.024816,0.002434,0.257996,0,0,0,0.039383,2.70E-05,7.40E-05,0,0
36,51.511884,-0.118984,3.47378351,1,3.891655139,2.374500163,4.091265321,2.399488791,0,0,0,0,0,0,0,2.00E-05,0.301785,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.010785,0,0,0.002566,0,0,0,0,0,0,0.596473,0,0
37,51.508386,-0.127287,6.938648357,1,5.762219233,5.340942848,5.852077175,6.431437786,0,0,0,0,0,0.179059,0,0.034648,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0,0,0,0.364074,0,0.070086,0.001109,0.17582,0,0,0.000656,0.15984,0,0.007945,0,0
38,51.51109,-0.119782,5.714135184,1,5.298742669,5.790318299,5.373023739,5.423620983,0,0,0,0,0,0.286137,0,0.034441,0,0,0,0,0,0,0,0,0,0,0,2.00E-05,0,0,0,0,0,0.161125,0,0.032914,0.000422,0.083594,0,0,0,0,0.082578,0.001098,0,0
39,51.510654,-0.11937,7.014070373,1,6.357606568,5.781791746,5.667002226,5.072336296,0,0,0,0,0,0.458996,0,0.127051,0,0,0,0,0,0.072434,0,0,0,0,0,0,0,0,0,0.000121,0,0.19566,0,0.034934,0,0.077961,0,0,0,0.016598,0,0.016246,0,0
40,51.510215,-0.118962,5.930477187,1,6.226786484,6.102378031,5.670212873,5.555408126,0,0.000188,0.012078,0,0,0.499363,0,0.019043,0,0,0,0,0,0,0,0,0,0,0,0,0,0.012863,0,0,0,0.188895,0,0.087047,0.093938,0.064973,0,0,7.40E-05,0,0.017043,0.000113,0,0
41,51.515306,-0.141966,6.491271507,1,6.340698765,6.147667188,5.55782538,5.432696107,0.002875,0,0,0,0,0.475125,0,0.031414,0,0,0,0,0,0.009945,0,0,0,0,0,0.004164,0,0.007191,0,0,0.000477,0.29768,0,0.078727,0.000434,0.084992,0,0,0.000508,0,0,0,0,0
42,51.508264,-0.129061,4.95869399,1,4.423879476,3.693361493,4.815977078,5.522032195,0.000691,0,0,0,0,0.131422,0,0.088023,0,0,0,0,0,0,0,0,0.000367,0,0,0,0,0.009082,0,0.000129,0,0.307465,0,0.067047,0,0.357582,0,0,0.002754,0.035434,0,0,0,0
43,51.508394,-0.12848,5.397040442,1,4.092441566,5.176321456,5.150258871,5.063248761,0.001531,0,0,0,0,0.198398,0,0.003316,0,0,0,0,0,0.000203,0,0,0.008395,0,0,0,0,0.014824,0,0.00543,0,0.177699,0,0.243641,0.000406,0.303336,0,0,7.40E-05,0.026941,0,0.002789,0,0
44,51.508486,-0.127887,5.435438433,1,5.906273244,5.353109324,5.4502475,5.451459822,0.00227,0,0,0,0,0.152836,0,0.001375,0,0,0.006262,0,0,0,0,0,0.000211,0,0,0,0,0.001273,0,0.019027,0,0.079883,0,0.358387,0,0.307605,0,0,0,0.052148,0,0.015797,0,0
45,51.507751,-0.13093,6.683319215,1,6.303589463,5.680040723,5.727734067,5.412214342,0,0,0,0,0,0.347172,0,0.01875,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007668,0,0,0,0.273504,0,0.121043,0.000512,0.114332,0,0,0.000207,0.083676,0,0,0,0
46,51.507937,-0.13036,3.855107633,1,4.600319667,4.704290473,5.753751166,5.433422798,0.003395,0,0,0,0,0.367039,0,0.030918,0,0,0,0,0,0.002031,0,0,0,0,0,0,0.000852,0.035855,0,0,0,0.20025,0,0.13418,0.001566,0.184164,0,0,0.000875,0.002066,0,0,0,0
47,51.506943,-0.136014,7.447957474,1,5.508705516,4.972441821,5.713698411,5.150886035,0,0,0,0,0,0.313328,0,0.062562,0,0,0,0,0,0.018688,0,0,0,0,0,0,0,0,0,0.00682,0.005934,0.298973,0,0.05559,0.003492,0.162543,0,0,0,0.065293,0.006777,0,0,0
48,51.507428,-0.136305,7.291724659,1,4.929296186,4.890946123,5.656593701,5.243953292,0,0,0,0,0,0.364578,0,0.072844,0,0,0,0,0,0.021176,0,0,0,0,0,0,0,0,0,0,0.001309,0.335172,0,0.022699,0,0.145371,0,0,0,0.034859,0,0.001992,0,0
49,51.507646,-0.135752,6.808371036,1,4.752822754,4.759342131,5.454621173,5.209485917,0,0,0,0,0,0.317172,0,0.021008,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000562,0,2.30E-05,0,0.379309,0,0.036508,0,0.17902,0,0,0.000199,0.04457,0.021629,0,0,0
50,51.503719,-0.136014,7.554765616,1,5.791201819,5.378742281,5.4113563,6.08489199,0,0,0,0,0,0.031207,0,0.13648,0,0,0,0,0,0.00057,0,0,0.02425,0,0,0,0.000801,0.00302,0,0,0,0.310762,0,0.00166,0,0.241504,0,0,0.000906,0.24857,0,0,0,0
51,51.508443,-0.131712,6.294576641,1,6.150386384,5.450492182,5.559391277,5.705278479,0,0.010199,0,0,0,0.452742,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03166,0,0.000453,0,0.280039,0,0.117789,0,0.100695,0,0,0.000215,0,0,0,0,0
52,51.508245,-0.132279,6.404535547,1,5.44919687,5.734170935,5.564548871,5.407324033,0,0,0,0,0,0.367152,0,0.006742,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00784,0,0,0,0.212324,0,0.015336,0.001,0.062695,0,0,0,0,0.078074,0,0,0
53,51.508046,-0.132845,5.847807568,1,5.563344215,5.027577291,5.481543686,5.288393097,0,0,0,0,0.002629,0.433965,0,0.002641,0,0,0,0,0.009309,0.128168,0,0,0,0,0,0,0,0.011004,0,0,0,0.179285,0,0.066625,0.00068,0.133258,0,0,0,0,0,0,0,0
54,51.507197,-0.132344,6.178756986,1,3.490427765,3.5361187,5.44042937,4.908362655,0,0,0,0,0,0.25093,0,0.140176,0,0,0,0,0,9.00E-05,0,0,1.20E-05,0,0,0,0,0.000148,0,0,0,0.29425,1.60E-05,0.018953,0,0.245207,0,0,0.004934,0.007848,0.013328,0.009242,0,0
55,51.505862,-0.130808,6.310540546,1,5.652462604,4.482162399,5.62021776,5.997760363,0,0,0,0,0,0.17484,0,0.000133,0,0,0,0,0.070805,0,0,0,0.005039,0,0,0,0,0.000418,0,0,0,0.378852,0,0.003875,0,0.246711,0,0,0,0.119328,0,0,0,0
56,51.505599,-0.130269,4.224170286,1,3.679851405,4.429483102,5.04397796,4.255892607,0,0,0,0,0,0.008859,0,0,0,0,0,0,0,0.002789,0,0,0.074082,0,0,0,0.012664,0,0,0,0,0.298738,0,0.07684,0,0.294328,0,0,0,0.106836,0,0.107359,0,0
57,51.505335,-0.12973,5.901318292,1,4.800593941,4.323313174,5.104684505,5.912966192,0,0,0,0,0,0.166191,0,0.001805,0,0,0,0,0.002078,0.005656,0,0,0.036582,0,0,0,0.001648,0.001715,0,0,0,0.360473,0,0.046793,0,0.297223,0,0,0.001133,0.071777,0,0.006059,0,0
58,51.504906,-0.129359,7.427676265,1,6.02399918,4.677472894,6.06826911,5.881589923,0.000668,2.30E-05,0,0,0,0.085449,0,0.011441,0,0,0,0,0,0.006719,0,0,0.054727,0,0,0,0,0.003762,0,0,0,0.411961,0,0.000152,0,0.157129,0,0,0.000184,0.266641,0,2.70E-05,0,0
59,51.504336,-0.129172,4.694421973,1,4.446617354,3.977430162,4.677164534,4.526143562,0.011402,0,0,0,0,0.042023,0,0.008348,0,0,0,0,0.000113,0.001227,0,0,0.022371,0,0,0,0,0,0,0,0,0.417977,0,0.012324,0,0.320961,0,0,0.007406,0.151367,0,0,0,0
60,51.503764,-0.129012,5.762682033,1,5.673146124,4.410063897,5.717405416,5.270769766,0,0,0,0,0,0.13218,0,0.00116,0,0,0,0,0,0.005098,0,0,0.034617,0,0,0,0,0.000105,0,0,0.01177,0.327203,0,0.084891,0,0.27448,0,0,0,0.114762,0,0.013734,0,0
61,51.503226,-0.129245,5.949100907,1,6.080260851,4.531287848,5.737822628,6.390310411,0,0,0,0,0,0.180902,0,0.038418,0,0,0,0,0,0.004441,0,0,0.021797,0,0,0,0,0,0,0,0,0.339648,0,0.044988,0,0.215625,0,0,0.001629,0.129758,0,0.021844,0,0
62,51.502738,-0.129589,6.115933159,1,5.596504819,5.088695458,5.777546587,6.064949327,0,0,0,0,0,0.161309,0,0,0,0,0,0,0,0.00209,0,0,0.010734,0,0,0,0,0,0,0.000895,0.001285,0.343434,0,0.049133,0,0.215578,0,0,0.005891,0.153484,0,0.035547,0,0
63,51.535214,-0.139133,6.486264347,1,5.259421495,3.75801606,5.671038673,5.31187437,0,0.005805,0,0,0,0.392836,0,0.10952,0,0,0,0,0,0,0,0,0,0,0,0.00123,0,0.00057,0,0,0,0.24925,0,0.05327,0.001559,0.174371,0,0,0,0,0.008258,0,0,0
64,51.535661,-0.139531,4.100355209,1,4.952463742,3.615723248,5.499274943,5.18741053,0.003902,0,0,0,0,0.35884,0,0.001602,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004645,0,0,0,0.293727,0,0.085566,0.001527,0.216375,0,0,0.000219,0,0.012523,0,0,0
65,51.53608,-0.13996,4.7637447,1,4.952026701,4.002231643,5.405792042,5.463762648,0,0.000258,0.00352,0,0,0.377051,0,0.004789,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00123,0,0,0,0.325312,0,0.069816,0,0.214988,0,0,0,0,0,0,0,0
66,51.536495,-0.140394,5.463277468,1,5.105867297,4.505169842,5.453275082,5.092351021,0.000773,0,0,0,0,0.360184,0,0.015598,0,0,0,0,0,0,0,0,0,0,0,0.003148,0,0.017594,0,0,0,0.335793,0,0.05475,0.001215,0.210391,0,0,0,0,0,0,0,0
67,51.53691,-0.140827,5.323971337,1,3.771060352,3.945506017,5.642576157,4.858485733,0.004914,0,0,0,0,0.331285,0,0.115156,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001047,0,0,0,0.255031,0,0.044148,0.003207,0.241855,0,0,0,0,0.003211,0,0,0
68,51.538935,-0.142615,4.546805758,1,3.226533296,3.526785313,5.065680183,4.633883664,0.001598,0,0,0,0,0.235172,0,0.002387,0,0,0,0,0,0.002219,0,0,0,0,0,0.00027,0,0.018645,0,0,0,0.318219,0,0.106566,0.00166,0.294848,0,0,0.000352,0,0,0,0,0
69,51.539395,-0.142999,6.030181821,1,6.270866614,5.466895601,5.516876448,5.744179116,0,0,0,0,0,0.451879,0,0.000891,0,0,0,0,0,0,0,0,0,0,0,0,0,0.013652,0,0,0,0.190844,0,0.212281,0.001738,0.109484,0,0,8.00E-06,0.013789,0,0,0,0
70,51.542833,-0.142939,5.773187229,1,5.013958632,3.763904374,5.544994432,4.940305685,0,0,0,0,0,0.253301,0,0.000648,0,0,0,0,0,0.024176,0,0,0.00727,0,0,0,0,0,0,0.004039,0,0.316168,0,0.09932,0.000234,0.225402,0,0,0,0.068207,0,0.001234,0,0
71,51.542786,-0.142341,5.410218036,1,3.970285218,4.683081035,5.216779452,5.140368,0.001008,0.001148,0,0,0,0.243,0,0.06882,0,0,0,0,0,0.000273,0,0,0,0,0,0,0,0,0,0,0,0.275656,0,0.023629,0.001387,0.296938,0,0,0,0.050926,0,0.014211,0,0
72,51.543959,-0.123446,4.625610143,1,4.581302418,4.099712788,5.451605253,4.892567976,0,0,0,0,0,0.367883,0,0.019656,0,0,0,0,0,0.00584,0,0,0,0,0,0,0,0,0,0,0,0.322328,0,0.038375,0.000492,0.245387,0,0,0,0,0,0,0,0
73,51.536257,-0.102163,7.416055516,1,5.679749509,4.637714345,5.763283699,6.25782388,0,0,0.001363,0,0,0.229207,0,0.012199,0,0,0,0,0.003605,0.001078,0,0,0.007625,0,0,0,0,0.00541,0,0.005512,0,0.319918,0,0.085527,4.00E-06,0.173898,0,0,0,0.152691,0,0.001953,0,0
74,51.53597,-0.10371,6.786050163,1,6.01702056,4.986884589,5.8766572,5.95412364,0,0.006984,0,0,0,0.244129,0,0.101543,0,0,0,0,0,0.002848,0,0,0.015754,0,0,0,0,0,0,0,0.007512,0.295793,0,0.03223,0.000191,0.145012,0,0,0.00018,0.146242,0,0,0,0
75,51.53274,-0.096847,3.824064655,1,4.81683933,3.536390833,4.51950515,4.985490039,0,0,0,0,0,0.104172,0,2.00E-05,0,0,0,0,0,0.002492,0,0,0,0,0,0,0,0,0,0,0,0.188051,0,0.093113,0.012625,0.353688,0,0,0.007527,0.033406,0,0.200996,0,0
76,51.537521,-0.105929,7.355502031,1,5.845688385,5.340888022,5.659269256,5.152028027,0,0,0,0,0,0.355324,0,0.098215,0,0,0,0,0,0.028051,0,0,0,0,0,0,0,0,0,0,0.016078,0.257609,0,0.035539,0,0.144996,0,0,6.20E-05,0.063605,0,0,0,0
77,51.538121,-0.105918,7.830425736,1,4.374554958,4.445785185,5.728718682,5.079156393,0,0,0,0,0,0.259055,0,0.177074,0,0,0,0,0,0.022988,0,0,0,0,0,0,0,0,0,0.04957,0,0.202668,0,0.006254,0,0.236289,0,0,0,0.046102,0,0,0,0
78,51.537515,-0.106949,5.587738597,1,4.929000258,3.315672401,5.727416694,5.376798803,0,0,0,0,0,0.222531,0,0.013977,0,0,0,0,0,0.01834,0,0,0.001922,0,0,0,0,0,0,0.000219,0.001062,0.356219,0,0.044547,0.002363,0.225035,0,0,0,0.075062,0,0.024824,0,0
79,51.537518,-0.106349,6.166164556,1,4.560529278,4.355845182,5.621843231,5.20372094,0,0,0,0,0,0.32943,0,0.090191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.268918,0,0.031281,3.50E-05,0.223672,0,0,0.001625,0.032129,0,0.022559,0,0
80,51.537523,-0.105149,6.280192673,1,5.417872501,4.94026008,5.741368257,5.728825009,0,0,0,0,0,0.231324,0,0.016742,0,0,0,0,0,0.013371,0,0,0.000375,0,0,0,0,0,0,0,9.80E-05,0.261707,0,0.118961,0,0.236648,0,0,0,0.101906,0,0.001934,0,0
81,51.537529,-0.104549,6.917422617,1,5.621455417,4.867002405,5.627383118,5.367017195,0,0,0,0,0,0.284645,0,0.142363,0,0,0,0,0,0.059445,0,0,0,0,0,0,0,0,0,0,0,0.24018,0,0.012625,0,0.169379,0,0,0,0.083777,0,0.007586,0,0
82,51.537534,-0.103949,7.336764674,1,4.500280449,4.307654509,5.749308433,4.910817957,0,0,0,0,0,0.359254,0,0.140434,0,0,0,0,0,0.045168,0,0,0,0,0,0,0,0,0,0,0,0.232625,0,0.022832,0,0.194418,0,0,0,0.00523,3.90E-05,0,0,0
83,51.542882,-0.105438,5.186505252,1,5.417367817,4.358643017,5.571441534,5.589039045,0,0,0,0,0,0.374797,0,0.000316,0,0,0,0,0,0.000133,0,0,0,0,0,0,0,0.001082,0,0.043211,0,0.323805,0,0.064262,4.00E-06,0.190777,0,0,0.000367,0.000582,0,0,0,0
84,51.54231,-0.105257,6.244291188,1,7.081526969,6.060676516,5.642265556,5.515852566,0,0,0,0,0,0.399387,0,0.099523,0,0,0,0,0,0.053734,0,0,0,0,0,0,0,0,0,0,0,0.153082,0,0.000406,0,0.150566,0,0,0,0.081844,0,0.003059,0,0.001223
85,51.541737,-0.105077,7.856768971,1,6.250608425,6.555741274,5.758472454,4.988876351,0,0,0,0,0,0.294398,0,0.027699,0,0,0,0,0,0.031441,0,0,0,0,0,0,0,0.006746,0,0,0.001277,0.235527,0,0.124516,0,0.08477,0,0,0,0.184734,0,0.008801,0,0
86,51.54116,-0.104914,7.077368006,1,5.98302011,5.627544087,5.718910669,5.299883825,0,0,0,0,0,0.331586,0,0.116117,0,0,0,0,0.002227,0.061062,0,0,0.00125,0,0,0,0,0,0,0,0,0.24298,0,0.018215,0,0.118629,0,0,0.000148,0.107766,0,0,0,0
87,51.532247,-0.096506,5.884111839,1,6.322535223,5.316336186,5.612907441,5.061137344,0,0,0,0,0,0.509207,0,0.02275,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000199,0,0,0,0.264199,0,0.074355,0,0.121918,0,0,0.001867,0,0,0,0,0
88,51.53175,-0.096169,5.361716297,1,5.768317816,4.987559444,5.531429,5.619662451,0,0,0,0,0,0.454562,0,0.000289,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000441,0,0,0,0.242109,0,0.059316,0,0.143312,0,0,0,0.00157,0.095312,0,0,0
89,51.531254,-0.095831,5.531207785,1,6.302361237,5.618106914,5.508439461,5.521389429,0,0,0,0,0,0.436242,0,0.002066,0,0,0,0,0,0.008359,0,0,0,0,0,0,0,0.000316,0,0,0,0.272965,0,0.038914,0,0.074984,0,0,0.000441,0,0,0.165523,0,0
