FID,Lat,Lng,Score,Q1,Q2,Q3,Q4,Q5,wall,ceiling,windowpane,person,column,signboard,building,sky,road,sidewalk,car,awning,van,bulletin board,fence,ashcan,streetlight,tree,grass,earth,mountain,plant,bicycle,railing,bridge,skyscraper,minibike,water,chair,lamp,pier,sculpture,desk,fountain,glass,booth,sofa,lake,ct_person,ct_car,ct_truck,ct_bus,ct_traffic light,ct_bench,ct_motorcycle,ct_bicycle,ct_chair,ct_boat,ct_dining table,ct_couch,ct_parking meter
10,40.70153,-74.01181,4.498339362,1,4.703001311,3.697239451,2.758228605,2.362836439,0.459504,0.041926,0,0,0,0.005793,0.090988,0.102695,0.270301,0.01848,0.000688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,40.70163,-74.01049,4.681728085,1,4.177555101,4.44159997,4.850349326,4.492106625,0.078656,0,0,0.005645,0.010996,0.051043,0.152828,0.291289,0.339129,0,0.00816,0,0,0,0.00084,0,0,0.010727,0,0,0,0,0,0.029133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0
12,40.701633,-74.013344,3.32556766,1,5.976935095,5.650700055,5.482305297,5.709109731,0.002684,0,0,0.018219,0.003289,0,0.505418,0.103953,0.307176,0.030496,0.00384,0,0,0,3.10E-05,4.30E-05,0,0.015809,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0
13,40.701645,-74.01265,5.047434468,1,5.327579979,4.57853248,5.78605304,4.907479296,0.005098,0,0,0,0,0.001586,0.332219,0.154414,0.348348,0.022168,0.03727,0,0,0,0.000871,0,0,0.028949,0.003809,0.004215,0,0,0,0,0,0.024434,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
14,40.701756,-74.013657,5.47784766,1,6.399149698,5.893663104,4.964241397,5.838509317,0.000793,0,0,0.067305,0.000777,0.029762,0.211293,0.160258,0.002867,0.362254,0.005301,0.008418,0,0,0,0,0.000559,0.073855,0,0,0,0,0,0,0.010328,0.065059,0,0,0,0,0,0,0,0,0,0,0,0,10,1,0,0,0,0,0,0,0,0,0,0,0
15,40.701801,-74.010841,7.646357021,1,4.818534664,4.52614389,6.434590175,4.445522774,0.055473,0,0,0.000219,0,4.30E-05,0.303121,0.194613,0.285727,0.000207,0.153809,0,0,0,0.006434,0,0.000137,0,0,0,0,0.000219,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0,1,0,0,0,0,0,0,0,0,0
16,40.701805,-74.011185,3.425928511,1,3.466490731,2.453040441,5.360226939,5.10610766,0.00034,0,0,0,0,0,0.087664,0.422816,0.41618,0,0.056812,0,0,0,0.00832,0,0.001141,0,0,0.00291,0.000559,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0
17,40.701832,-74.014389,7.921325106,1,4.760087349,4.327556558,5.245248435,6.169772257,0.009129,0,0,0,0,0,0.038375,0.179297,0.482125,0.002887,0.01557,0,0,0,0.001281,0,0.000145,0.262035,0,0,0,0.00682,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,40.701839,-74.013031,5.106501915,1,4.083862907,4.395928999,5.257844571,3.741589027,0.001621,0,0,0.024301,0.000703,0.002121,0.173902,0.289539,0.255129,0.180645,0.007941,0,0.000902,0,0.005273,0,0.00882,0.024727,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
19,40.701866,-74.014786,3.023352128,1,5.182999036,4.628039477,5.927007972,4.505693582,0.004867,0,0,0.003168,0,0,0.038988,0.266223,0.389547,0,1.60E-05,0,0,0,0.049684,0,0.000891,0.185023,0.041398,0.000488,0,0.019707,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0
20,40.701874,-74.011955,7.449906596,1,4.722536849,4.438937926,5.762846268,4.661620083,4.70E-05,0,0,0.002664,0,0,0.362543,0.202574,0.332441,0.05359,0.002781,0,0,0,0.042836,0,0,0,0,0.000523,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0
21,40.7019,-74.012337,6.922066809,1,6.743929488,5.768578986,5.535344071,5.064699793,0,0,0,0.055453,0,0,0.496316,0.085777,0,0.31693,0.000805,0.000336,0,0,0.011871,0,0,0.014289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0
22,40.701923,-74.010117,5.486757021,1,3.26784961,3.799732362,4.011097804,4.227484472,0.006305,0,0,0,0,0,0.231941,0.26757,0.42943,1.20E-05,0.04273,0,0,0,0.014477,0,0,0.00141,0,0.002535,0,0,0,0.002805,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
23,40.701931,-74.00972,4.953099574,1,4.420468851,4.416181024,5.223926452,4.350414079,0.001141,0,0,0,0,0.002668,0.279305,0.237176,0.319766,0.013824,0.000379,0,0,0,0.003945,0,0,0.000434,0,0.000258,0,0,0,0.094836,0,7.80E-05,0,2.70E-05,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
24,40.702129,-74.009071,4.955668723,1,4.088779049,3.930355151,4.827664401,4.832427536,0.004977,0,0,0,0,0.01952,0.178215,0.278074,0.395227,0.000215,0.009289,0,0,0,0.018129,0,0.000156,0.040336,0,0.00023,0,0,0,0,0,0.038352,0,0.008965,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
25,40.702164,-74.013741,5.194744043,1,4.157672603,3.72299904,4.938850963,4.010740166,0.011871,0,0,0.004617,0,0.014422,0.068367,0.333273,0.36223,0.050289,0.006934,0,0,0,0.022711,0,0.003961,0.090301,0,0,0,0.006996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,1,0,0,0,0,0,0,0,0
26,40.702179,-74.01413,5.853406596,1,5.320260379,4.573394886,4.336653893,6.030667702,0.036496,0,0,0,0,0,0.006516,0.149832,0.416266,0.001699,0.067348,0,0,0,0.04173,0,0,0.275047,0,7.00E-05,0,0.00073,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
27,40.702187,-74.010666,6.933919149,1,4.495857644,4.116125763,4.712246226,3.593426501,0.000438,0,0,0,0,0.00248,0.253395,0.243215,0.306824,0,0.115348,0,0,0,0.077168,0.000348,0,0.000648,0,0,0.000133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0
28,40.702194,-74.011383,6.571313191,1,4.182168284,4.069467892,4.246198896,3.044772257,0.062551,0,0,0,0,0.001438,0.214191,0.262039,0.333871,0.065926,0.031504,0,0,0,0.003078,0,0.000438,0,0,0,0,0,0,0.005527,0.019438,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0
29,40.702206,-74.009476,5.876310213,1,4.309650197,3.568723743,4.613697645,3.741589027,0,0,0,0.000117,0,8.00E-06,0.175555,0.300125,0.454129,0.00498,0.018027,0,0,0,0.016711,0,0,0.030348,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0
30,40.702209,-74.012924,6.303415957,1,4.15580153,2.50964864,2.91909154,2.320134576,0.274176,0.429137,0,0.007453,0.002254,0,0,0,0,0,0,0,0,0.007516,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
31,40.702209,-74.011749,6.146216596,1,6.941712746,6.641040912,5.498439145,4.569746377,0.082441,0,0,0.005559,0,0,0.376602,0.004461,0,0.249328,0.00516,0,0,0,0.03182,0.004855,0,0.163969,0,0.013699,0,0.026738,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
32,40.702213,-74.010284,6.087080851,1,3.965430078,4.005663389,4.043808571,4.585274327,0.047172,0,0,0.000734,0,0,0.237098,0.261133,0.383586,0.010273,0.051906,0,0,0,0.003016,0,0,0.00241,0,0,0.000723,0.001309,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0
33,40.702236,-74.01252,7.73487,1,7.088697543,5.893482299,4.911239333,4.248835404,8.00E-06,0,0,0.029586,0,0,0.236762,0.022602,0.001219,0.279852,0.011867,0.001395,0.026941,0,0,0.000891,0,0.154145,0,0.161324,0,0.000336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,2,0,0,0,0,0,0,0,0,0,0
34,40.702286,-74.008202,4.494947021,1,4.262358241,4.089508922,4.753366026,5.432194617,0.205094,0,0,0,0,0.000293,0.09232,0.27498,0.29893,0.011098,0,0,0,0,0,0,0,0.037297,0.000145,0.010875,0,0,0,0,0,0.060887,0,0.008082,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,40.702301,-74.015289,0,1,4.495408396,3.225069567,2.153846391,1.682841615,0.595973,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.102934,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,40.702461,-74.008881,3.96703,1,3.614813978,3.882680381,4.000128371,3.643245342,0.013945,0,0,0.00018,0,0.008438,0.228121,0.267121,0.422441,0.030898,0,0,0,0,0.008594,0,0,0.002426,0,0,0.000129,0,0,0.014074,0.003633,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,40.702473,-74.008553,4.681131489,1,4.247921847,4.313087047,4.187095413,4.425465839,0.172066,0,0,0,0,4.00E-06,0.117086,0.284238,0.303246,0.008766,0,0,0,0,0.000234,0,0,0.042277,0,0.007785,0,0,0,0,0,0.055953,0,0.00466,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,40.702518,-74.013519,6.642266596,1,4.444758727,4.360593333,5.798035942,3.860636646,0.000859,0,0,0,0,0.001711,0.229238,0.243285,0.31673,0.092734,0.021395,0,0.000496,0,0.012816,0,0.002727,0.064523,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0
39,40.70253,-74.01313,7.587111915,1,7.08925636,6.088394853,5.372284382,6.721661491,0.018211,0,0,0.0115,0,0,0.257328,0.044871,0.154578,0.225598,0.06534,0,0,0,0.001109,0,0,0.191219,0,0,0,0.009352,0.00016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,0,0,0,0,0,0,0,0,0,0,0
40,40.702538,-74.01429,6.788678723,1,5.620397832,5.645737277,5.212507745,4.801371636,0,0,0,0,0,0,0.028848,0.16527,0.086332,0,0,0,0,0,0.001402,0,0.011449,0.244758,0.030453,0.23659,0,0.177566,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,40.702541,-74.010834,3.496932766,1,5.309923575,4.968597358,6.144634561,5.562241201,0.032031,0,0,0.00025,0,0.006062,0.374891,0.147434,0.31741,0.078906,0.033688,0,0,0,0.00832,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,0,0,0,0,0,0,0,0,0,0,0
42,40.702545,-74.011208,4.991972128,1,5.538533605,5.196340487,6.113225554,4.921713251,0.004535,0,0,0.000504,0,0,0.396312,0.128152,0.345258,0.046715,0.029586,0,0,0,0.03882,0,0,0,0,0.010117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,7,0,0,0,0,0,0,0,0,0,0,0
43,40.702553,-74.009666,7.848521277,1,6.27099035,5.303726404,4.871651927,4.097437888,0.043828,0,0,0,0,0,0.223527,0.211277,0.002262,0.402391,0.006215,0,0,0,0.001961,0.021613,0.002707,0.078238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,40.70256,-74.014671,6.119330851,1,4.773328607,3.770878285,2.418400001,1.682841615,0.333191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.422547,0.000211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,40.702564,-74.011955,5.769409787,1,5.612381072,5.083742998,6.382521685,4.920419255,0.053812,0,0,0.000828,0,0,0.366453,0.099266,0.350793,0.012609,0.031082,0,0,0,0,0,0,0.030387,0.001281,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0
47,40.702564,-74.012344,6.87831766,1,7.074904567,5.717952962,6.245301383,6.625905797,0.002586,0,0,0.002848,0,0,0.28998,0.142535,0.175988,0.030367,0.087914,0,0,0,0,0,0.000977,0.07548,0,0,0,0.017992,0.001691,0,0,0,0.001965,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0
48,40.702568,-74.010071,8.016827447,1,5.672230544,5.413460613,5.788326693,4.088379917,0.058816,0,0,0,0,0,0.425797,0.041102,0.394383,0.00218,0,0,0,0,0.002852,0,0,0,0.004812,0.014223,0.049398,0.006074,0,0,0.000363,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,40.702576,-74.007858,1.70661317,1,4.350187702,4.627454979,4.399997023,4.292184265,8.20E-05,0,0,0,0,0,0.261828,0.261359,0.35168,0.005348,0.066719,0,0,0,0,0,4.00E-06,0.048992,0,0.001688,0,0,0,0,0,0,0,0.001973,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
50,40.702648,-74.015472,0,1,4.75394012,2.860491764,2.655975639,2.402950311,0.499531,0.289359,0,0,0,0,0,0,0.204438,0,0,0,0,0,0,0,0,0,0,0.000727,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,40.702789,-74.0159,0,1,4.700586686,2.873507567,2.874941244,1.40010352,0.450184,0.290598,0,0.001145,0,0,0,0,0.063215,0,0,0,0,0,0.05541,0,0,0,0,0.03157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,40.702854,-74.009109,4.755954681,1,4.343162778,4.111472427,4.860099453,4.720496894,0.054773,0,0,7.80E-05,0,0.005805,0.2705,0.266875,0.329426,0.015152,0.048699,0,0,0,0.001262,0,1.20E-05,0.006238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
54,40.702866,-74.0084,3.633522766,1,4.336767695,4.078636193,4.920945896,3.942805383,0.071348,0,0,0,0,0.002199,0.269234,0.262977,0.343328,0.003445,0.000461,0,0,0,0.009203,0,0,0,0,0,1.60E-05,0,0.000797,0.019961,0.004348,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
55,40.702881,-74.008011,3.693607234,1,4.221834648,4.430280577,5.248061944,4.13431677,0.00034,0,0,0.001371,0,0.000609,0.291895,0.254648,0.328855,0.055645,0.014789,0,0,0,0.001633,0.00025,0.001902,0.007906,0,4.30E-05,0,0,0,0.001242,0.001902,0,0,0.004566,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
56,40.702885,-74.013702,6.649874043,1,5.826381871,5.655294259,5.784856125,5.826863354,0,0,0,0.004742,0,0.000289,0.44848,0.014383,0.417461,0.031324,0.034055,0,0,0,0,0,0,0.049266,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0
57,40.702888,-74.014076,7.571885106,1,4.361784689,2.91552035,2.952490861,1.730719462,0.35068,0.277715,0,0.076941,0,0.006023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.016934,0,0,0,0,0,0,0.001086,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
58,40.702892,-74.010254,5.210658085,1,5.822126624,5.634467528,5.790886529,5.000646998,0.031105,0,0,0,0,0,0.445199,0.029359,0.399012,0.007559,0,0,0,0,0.007098,0,0,0.001223,8.00E-06,0.040484,0.022754,0.015652,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59,40.702892,-74.010643,5.067563617,1,5.810920122,5.635305704,5.78758982,5.709109731,0,0,0,0.002082,0,0.00275,0.488207,0.052707,0.377672,0.033836,0.014703,0,0,0,0.017883,0,0,0.001895,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,0,0,0,0,0,0,0,0,0,0
60,40.702892,-74.012932,7.250552553,1,6.871659487,6.649788211,5.47840327,6.842003106,0,0,0,0.008562,0,0.004984,0.345453,0.035539,0.24709,0.03443,0.128738,0,0,0,0,0,0,0.165273,0,0,0,0.024125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0
61,40.7029,-74.011398,6.607202128,1,5.66384775,5.620748655,5.801597821,6.085662526,0.000758,0,0,0.010848,0,0,0.450504,0.074137,0.353984,0.056473,0.046066,0,0,0,0.001488,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,5,0,0,0,0,0,0,0,0,0,0,0
62,40.702904,-74.01178,6.717617447,1,5.810875778,5.64281904,5.79139673,5.599767081,0,0,0,0.000594,0,0,0.465945,0.064137,0.361145,0.016988,0.067688,0,0,0,0,0,0,0.023504,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,0,0,0,0,0,0,0,0,0,0,0
63,40.702904,-74.01255,6.160703191,1,6.554008171,5.948940215,5.782007989,4.853778468,0,0,0,4.70E-05,0,2.70E-05,0.625016,0,0.163504,0.122785,0.08123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005035,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
64,40.702911,-74.014854,6.535538936,1,5.175962504,4.019206097,5.978912427,4.644151139,0.012008,0,0,0.005488,0,0.002168,0.177691,0.169961,0.391812,0.036184,0.008691,0,0,0,0.002672,0,0.00116,0.164156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,2,0,0,0,0,0,0,0,0
65,40.702934,-74.015266,0,1,4.333272318,2.848628654,2.93997299,2.402950311,0.408023,0.305188,0,0,0,0,0.013051,0,0.196078,0.00173,0.059621,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
66,40.703182,-74.0159,0,1,4.261843959,2.845969796,2.977038843,2.402950311,0.336477,0.294781,0,0,0,0.001578,0,0,0.148934,0,0,0,0,0,0.045855,0,0,0,0,0.007527,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
67,40.703194,-74.007393,3.782868085,1,3.990092905,3.853157617,4.043551322,4.446169772,0.016867,0,0,0,0,0,0.248273,0.264648,0.393367,0,0.006008,0,0,0,0.018352,0,0.000141,0.001359,0,0.005492,0,0,0,0.002805,0.003605,0.000336,0,0.014949,0,0,0.011449,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
68,40.703209,-74.008568,4.724915745,1,5.938698174,5.933176186,6.269080988,5.848861284,0.004809,0,0,0.002078,0,0,0.211203,0.127449,0,0,0,0,0,0,0,0,0,0.153301,0.433109,0.045207,0,0.002875,0,0,0,0,0,0.000504,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
69,40.70322,-74.007797,0,1,4.63996339,4.320209127,4.388190748,5.446428571,0.056301,0,0,0.001062,0,0.001586,0.230707,0.25584,0.261617,0.025055,0.077953,0,0,0,0.020016,0,5.10E-05,0,0,0,0,0,0,0,0,0.059883,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0
70,40.703228,-74.009689,5.064602766,1,6.66230415,5.945981707,6.040775912,4.282479296,0.000328,0,0,0.000973,0,0,0.434559,0.112281,0.002129,0.07102,0,0,0,0,0.057676,0,0,0,0.053676,0.000859,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
71,40.703232,-74.013504,6.069986809,1,6.727216898,6.02137036,6.258931267,5.185688406,0,0,0,0,0,0,0.476145,0.037684,0.21459,0.141109,0.006129,0,0.073438,0,0,0,0,0.004746,0,0,0.000922,0.000348,0.000105,1.20E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0
72,40.703236,-74.013123,7.665453191,1,6.387782216,6.050726364,5.540467726,4.661620083,0,0,0,0.005785,0,0.000961,0.461512,0.049594,0.290125,0.015996,0.172734,0,0,0,0,0,0,0.003023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,1,0,0,0,0,0,0,0,0,0,0
73,40.703236,-74.010063,5.245141702,1,5.375724608,4.894219269,5.981531089,4.881599379,7.00E-05,0,0,0.013508,0,0.000211,0.364984,0.096461,0.374023,0.068859,0.009945,0,0,0,0,0,0,0.054656,0,0,0,0.009836,0.000793,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2,0,1,0,0,0,0,0,0,0,0,0
74,40.703236,-74.010834,6.121476383,1,7.073381489,5.915082308,5.745043645,5.717520704,0,0,0,0,0,0.006465,0.45573,0.042457,0.044891,0.243672,0.005609,0.000957,0,0.02468,0,0.017109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
75,40.703236,-74.014267,6.768947021,1,5.131829242,4.889417418,5.755338387,5.720755694,0.025285,0,0,0,0,0.015098,0.042223,0.295586,0.250039,0.083605,0.119863,0,0.002742,0,0,0.001152,0.00191,0.147504,0.000367,0,0,0.000348,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0
76,40.703239,-74.014664,6.930505957,1,6.020429486,4.617156455,5.369531071,5.33449793,0.002613,0,0,0.016738,0,0,0.23116,0.140223,0.364488,0.038992,0.033082,0,0,0,0,0.000148,1.20E-05,0.157,0,0,0,0.001391,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,0,0,0,0,0,0
77,40.703239,-74.011215,6.761585745,1,4.429076104,2.971369201,2.952842221,1.730719462,0.379199,0.251348,0,0.075598,0.003586,0.007191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
